# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
ABJA007;Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJA008;Évacuation d'un empyème intracrânien extracérébral, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABJB001;Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABJB002;Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABJC900;Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABLA001;Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABLB001;Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABLB002;Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABLB003;Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABLB006;Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté 01.02.04.03 Dérivation du liquide cérébrospinal [LCS] intracrânien CODE CCAM P A LIBELLE MODIFICATEURS;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
