# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
ACFA027;01C03 01C04 01C11 01C12 03C16 03C17 03C29 17C06;01 03 17;non;EXÉRÈSE T. ANGLE PC/MÉAT CAI AB. TRANSOTIQUE
ACFA028;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T.CONVEXITÉ ENVAHISSANT 1SINUS VN DURAL
ACFA029;01C03 01C04 01C11 01C12 03C16 03C17 03C29 08C21 17C06;01 03 08 17;non;EXÉRÈSE T. POINTE ROCHER +DÉROUTM NF FACIAL AB.
ACHA001;01C03 01C04 01C11 01C12 17C07;01 17;non;BIOPSIE LÉS. BASE AB. TRANSBUCCAL/NASOSPHÉNOÏDAL
ACHA002;01C03 01C04 01C11 01C12 17C06;01 17;non;BIOPSIE LÉS. INTRACRÂN. CRANIOT.
ACHA003;01C03 01C04 01C11 01C12 17C07;01 17;non;BIOPSIE LÉS. BASE ENDOS. BUCC/NASALE
ACHB001;01C03 01C04 01C11 01C12 17C07;01 17;non;BIOPSIE LÉS. INTRACRÂN. STÉRÉOTAX.
ACHH001;01C03 01C04 01C11 01C12 17C07;01 17;non;PCT LÉS. INTRACRÂN. TRANSCUT. GUID SCAN
ACHJ001;01C03 01C04 01C11 01C12 17C06;01 17;non;PCT LÉS. INTRACRÂN. TRANSCUT. +GUID REMNO
ACPA001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;LIBÉR. 1CONFLIT VASC.NF INTRACRÂN. CRANIOT.
ACQC001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;EXPLO. INTRACRÂN. VIDÉOCHIRURGIE
ADCA001;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;DÉROUTM +SUTURE NF FACIAL AB. TRANSMASTOÏDIEN
ADCA002;01C08 21C05;01 21;non;SUTURE NF FACIAL EXTRAPÉTREUX
ADCA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;DÉROUTM +SUTURE NF FACIAL AB. SUPRAPÉTREUX
ADCA004;01C08 03C17 21C05;01 03 21;non;DÉROUTM NF ALV. INF. AB. BUCC.
ADCA005;01C08 17C07 21C05;01 17 21;non;ANAST. EXTRACRÂN. ENTRE 2NF CRÂNIENS
ADCA006;01C03 01C04 01C11 01C12 21C05;01 21;non;SUTURE 1NF CRÂNIEN CRANIOT.
