# Fichiers officiels ATIH — Manuel des GHM, version 2025 (arrêté publié au BO du 23/07/2025) : annexe 2 (GHM classés par CMD), annexe 3 (GHM courts et caractéristiques des racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# libelle = libellé du GHM représentatif de la racine (version « en ambulatoire » lorsqu'elle existe, sinon premier niveau publié).
# ghm_court : J = ambulatoire strict (0 nuit) ; T0/T1/T2 = très courte durée (0 jour, 0 à 1 jour, 0 à 2 jours).
racine_ghm;cmd;categorie_majeure_ghm;ghm_court;admet_sejour_0_nuit;libelle
03K03;03;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie oto-rhino-laryngologique, en ambulatoire
03K04;03;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant certains actes non opératoires de la CMD 03, en ambulatoire
03M02;03;"Groupes ""médicaux""";T0;oui;Traumatismes et déformations du nez, très courte durée
03M03;03;"Groupes ""médicaux""";T1;oui;Otites moyennes et autres infections des voies aériennes supérieures, âge inférieur à 18 ans, très courte
03M04;03;"Groupes ""médicaux""";T1;oui;Otites moyennes et autres infections des voies aériennes supérieures, âge supérieur à 17 ans, très courte
03M05;03;"Groupes ""médicaux""";T1;oui;Troubles de l'équilibre, très courte durée
03M06;03;"Groupes ""médicaux""";T1;oui;Epistaxis, très courte durée
03M07;03;"Groupes ""médicaux""";T0;oui;Tumeurs malignes des oreilles, du nez, de la gorge ou de la bouche, très courte durée
03M08;03;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge inférieur à 18 ans, très courte
03M09;03;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge supérieur à 17 ans, très courte
03M10;03;"Groupes ""médicaux""";T0;oui;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge
03M11;03;"Groupes ""médicaux""";T0;oui;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge
03M12;03;"Groupes ""médicaux""";;non;Infections aigües sévères des voies aériennes supérieures, âge inférieur à 18 ans, niveau 1
03M13;03;"Groupes ""médicaux""";;non;Infections aigües sévères des voies aériennes supérieures, âge supérieur à 17 ans, niveau 1
03M14;03;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections ORL
03M15;03;"Groupes ""médicaux""";T1;oui;Symptômes et autres recours aux soins de la CMD 03, très courte durée
04C02;04;Groupes chirurgicaux;;non;Interventions majeures sur le thorax, niveau 1
04C03;04;Groupes chirurgicaux;;non;Autres interventions chirurgicales sur le système respiratoire, niveau 1
04C04;04;Groupes chirurgicaux;;non;Interventions sous thoracoscopie, niveau 1
04K02;04;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie bronchique, en ambulatoire
04M02;04;"Groupes ""médicaux""";T1;oui;Bronchites et asthme, âge inférieur à 18 ans, très courte durée
04M03;04;"Groupes ""médicaux""";T1;oui;Bronchites et asthme, âge supérieur à 17 ans, très courte durée
04M04;04;"Groupes ""médicaux""";;non;Pneumonies et pleurésies banales, âge inférieur à 18 ans, niveau 1
04M05;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours pour pneumonies et pleurésies banales, âge supérieur à 17 ans
04M06;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour infections et inflammations respiratoires, âge inférieur à 18 ans
04M07;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour infections et inflammations respiratoires, âge supérieur à 17 ans
04M08;04;"Groupes ""médicaux""";T0;oui;Bronchopneumopathies chroniques, très courte durée
04M09;04;"Groupes ""médicaux""";T1;oui;Tumeurs de l'appareil respiratoire, très courte durée
04M10;04;"Groupes ""médicaux""";T2;oui;Embolies pulmonaires, très courte durée
04M11;04;"Groupes ""médicaux""";;non;Signes et symptômes respiratoires, niveau 1
04M12;04;"Groupes ""médicaux""";T1;oui;Pneumothorax, très courte durée
04M13;04;"Groupes ""médicaux""";T0;oui;Oedème pulmonaire et détresse respiratoire, très courte durée
04M14;04;"Groupes ""médicaux""";T0;oui;Maladies pulmonaires interstitielles, très courte durée
04M15;04;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur le système respiratoire, très courte durée
04M16;04;"Groupes ""médicaux""";T2;oui;Traumatismes thoraciques, très courte durée
04M17;04;"Groupes ""médicaux""";T0;oui;Epanchements pleuraux, très courte durée
04M18;04;"Groupes ""médicaux""";T2;oui;Bronchiolites, très courte durée
04M19;04;"Groupes ""médicaux""";T0;oui;Tuberculoses, très courte durée
04M20;04;"Groupes ""médicaux""";T0;oui;Bronchopneumopathies chroniques surinfectées, très courte durée
04M21;04;"Groupes ""médicaux""";;non;Suivis de greffe pulmonaire, niveau 1
04M22;04;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections de l'appareil respiratoire
04M23;04;"Groupes ""médicaux""";T0;oui;Autres symptômes et recours aux soins de la CMD 04, très courte durée
04M24;04;"Groupes ""médicaux""";;non;Affections de la CMD 04 avec décès : séjours de moins de 2 jours
04M25;04;"Groupes ""médicaux""";T1;oui;Grippes, très courte durée
04M26;04;"Groupes ""médicaux""";T0;oui;Fibroses kystiques avec manifestations pulmonaires, très courte durée
04M27;04;"Groupes ""médicaux""";;non;Autres affections respiratoires concernant majoritairement la petite enfance, niveau 1
05C02;05;Groupes chirurgicaux;;non;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie, niveau 1
05C03;05;Groupes chirurgicaux;;non;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni
05C04;05;Groupes chirurgicaux;;non;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie, niveau 1
05C05;05;Groupes chirurgicaux;;non;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie, niveau 1
05C06;05;Groupes chirurgicaux;;non;Autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, avec circulation extracorporelle, niveau 1
05C07;05;Groupes chirurgicaux;;non;Autres interventions cardiothoraciques, âge inférieur à 2 ans, avec circulation extracorporelle, niveau 1
05C08;05;Groupes chirurgicaux;T1;oui;Transferts et autres séjours courts pour autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, sans circulation extracorporelle
05C09;05;Groupes chirurgicaux;;non;Autres interventions cardiothoraciques, âge inférieur à 2 ans, sans circulation extracorporelle, niveau 1
05C10;05;Groupes chirurgicaux;;non;Chirurgie majeure de revascularisation, niveau 1
05C11;05;Groupes chirurgicaux;;non;Autres interventions de chirurgie vasculaire, niveau 1
05C12;05;Groupes chirurgicaux;;non;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, niveau 1
05C13;05;Groupes chirurgicaux;J;oui;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, en ambulatoire
05C14;05;Groupes chirurgicaux;;non;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque
05C15;05;Groupes chirurgicaux;T1;oui;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque
05C17;05;Groupes chirurgicaux;J;oui;Ligatures de veines et éveinages, en ambulatoire
05C18;05;Groupes chirurgicaux;J;oui;Autres interventions sur le système circulatoire, en ambulatoire
05C19;05;Groupes chirurgicaux;T1;oui;Poses d'un défibrillateur cardiaque, très courte durée
05C20;05;Groupes chirurgicaux;;non;Remplacements ou ablations chirurgicale d'électrodes ou repositionnements de boîtier de stimulation
05C21;05;Groupes chirurgicaux;J;oui;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, en ambulatoire
05C22;05;Groupes chirurgicaux;T1;oui;Remplacements de stimulateurs cardiaques permanents, très courte durée
05K05;05;Groupes avec acte classant non opératoire;;non;Endoprothèses vasculaires avec infarctus du myocarde, niveau 1
05K06;05;Groupes avec acte classant non opératoire;T1;oui;Endoprothèses vasculaires sans infarctus du myocarde, très courte durée
05K10;05;Groupes avec acte classant non opératoire;J;oui;Actes diagnostiques par voie vasculaire, en ambulatoire
05K12;05;Groupes avec acte classant non opératoire;;non;Actes thérapeutiques par voie vasculaire sauf endoprothèses, âge inférieur à 18 ans, niveau 1
05K14;05;Groupes avec acte classant non opératoire;;non;Mise en place de certains accès vasculaires pour des affections de la CMD 05, séjours de moins de 2 jours
05K15;05;Groupes avec acte classant non opératoire;J;oui;Surveillances de greffes de coeur avec acte diagnostique par voie vasculaire, en ambulatoire
05K17;05;Groupes avec acte classant non opératoire;J;oui;Affections cardiovasculaires sans acte opératoire de la CMD 05, avec anesthésie, en ambulatoire
05K19;05;Groupes avec acte classant non opératoire;;non;Traitements majeurs de troubles du rythme par voie vasculaire, niveau 1
05K20;05;Groupes avec acte classant non opératoire;T1;oui;Autres traitements de troubles du rythme par voie vasculaire, très courte durée
05K21;05;Groupes avec acte classant non opératoire;;non;Poses de bioprothèses de valves cardiaques par voie vasculaire, niveau 1
05K22;05;Groupes avec acte classant non opératoire;;non;Actes thérapeutiques par voie vasculaire sur les orifices du coeur, âge supérieur à 17 ans, niveau 1
05K23;05;Groupes avec acte classant non opératoire;J;oui;Ablations, repositionnements et poses de sondes cardiaques supplémentaires par voie vasculaire, âge
05K24;05;Groupes avec acte classant non opératoire;J;oui;Dilatations coronaires et autres actes thérapeutiques sur le coeur par voie vasculaire, âge supérieur à 17 ans, en ambulatoire
05K25;05;Groupes avec acte classant non opératoire;J;oui;Actes thérapeutiques sur les artères par voie vasculaire, âge supérieur à 17 ans, en ambulatoire
05K26;05;Groupes avec acte classant non opératoire;J;oui;Actes thérapeutiques sur les accès vasculaires ou les veines par voie vasculaire, âge supérieur à 17 ans, en ambulatoire
05M04;05;"Groupes ""médicaux""";T1;oui;Infarctus aigu du myocarde, très courte durée
05M05;05;"Groupes ""médicaux""";T1;oui;Syncopes et lipothymies, très courte durée
05M06;05;"Groupes ""médicaux""";T0;oui;Angine de poitrine, très courte durée
05M07;05;"Groupes ""médicaux""";T2;oui;Thrombophlébites veineuses profondes, très courte durée
05M08;05;"Groupes ""médicaux""";T1;oui;Arythmies et troubles de la conduction cardiaque, très courte durée
05M09;05;"Groupes ""médicaux""";T2;oui;Insuffisances cardiaques et états de choc circulatoire, très courte durée
05M10;05;"Groupes ""médicaux""";T0;oui;Cardiopathies congénitales et valvulopathies, âge inférieur à 18 ans, très courte durée
05M11;05;"Groupes ""médicaux""";T1;oui;Cardiopathies congénitales et valvulopathies, âge supérieur à 17 ans, très courte durée
05M12;05;"Groupes ""médicaux""";T1;oui;Troubles vasculaires périphériques, très courte durée
05M13;05;"Groupes ""médicaux""";T1;oui;Douleurs thoraciques, très courte durée
05M14;05;"Groupes ""médicaux""";;non;Arrêt cardiaque, niveau 1
05M15;05;"Groupes ""médicaux""";T1;oui;Hypertension artérielle, très courte durée
05M16;05;"Groupes ""médicaux""";T0;oui;Athérosclérose coronarienne, très courte durée
05M17;05;"Groupes ""médicaux""";T1;oui;Autres affections de l'appareil circulatoire, très courte durée
05M18;05;"Groupes ""médicaux""";T2;oui;Transferts et autres séjours courts pour endocardites aiguës et subaiguës
05M19;05;"Groupes ""médicaux""";;non;Surveillances de greffes de coeur sans acte diagnostique par voie vasculaire, niveau 1
05M20;05;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections de l'appareil circulatoire
05M21;05;"Groupes ""médicaux""";;non;Infarctus aigu du myocarde avec décès : séjours de moins de 2 jours
05M22;05;"Groupes ""médicaux""";;non;Autres affections de la CMD 05 avec décès : séjours de moins de 2 jours
05M23;05;"Groupes ""médicaux""";T0;oui;Symptômes et autres recours aux soins de la CMD 05, très courte durée
06C03;06;Groupes chirurgicaux;;non;Résections rectales, niveau 1
06C04;06;Groupes chirurgicaux;;non;Interventions majeures sur l'intestin grêle et le côlon, niveau 1
06C05;06;Groupes chirurgicaux;;non;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans, niveau 1
06C07;06;Groupes chirurgicaux;;non;Interventions mineures sur l'intestin grêle et le côlon, niveau 1
06C08;06;Groupes chirurgicaux;;non;Appendicectomies compliquées, niveau 1
06C09;06;Groupes chirurgicaux;;non;Appendicectomies non compliquées, niveau 1
06C10;06;Groupes chirurgicaux;J;oui;Interventions réparatrices pour hernies et éventrations, âge inférieur à 18 ans, en ambulatoire
06C12;06;Groupes chirurgicaux;J;oui;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, en ambulatoire
06C13;06;Groupes chirurgicaux;;non;Libérations d'adhérences péritonéales, niveau 1
06C14;06;Groupes chirurgicaux;J;oui;Interventions sur le rectum et l'anus autres que les résections rectales, en ambulatoire
06C15;06;Groupes chirurgicaux;;non;Autres interventions sur le tube digestif en dehors des laparotomies, niveau 1
06C16;06;Groupes chirurgicaux;;non;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans, niveau 1
06C19;06;Groupes chirurgicaux;J;oui;Hémorroïdectomies, en ambulatoire
06C20;06;Groupes chirurgicaux;;non;Interventions sur l'oesophage, l'estomac et le duodénum pour ulcères, âge supérieur à 17 ans, niveau 1
